Artist,PlayCount
Louis Armstrong,33
Men at Work,33
Simon & Garfunkel,33
Slipknot,33
Sonic Youth,33
Starship,33
A,32
Ben Howard,32
Frank Sinatra,32
Haircut 100,32
Jóhann Jóhannsson,32
Norah Jones,32
Spandau Ballet,32
Stornoway,32
System of a Down,32
The Rumble Strips,32
Tori Amos,32
Alice Cooper,31
Deep Blue Something,31
Dido,31
Fine Young Cannibals,31
Gabrielle,31
Monty Python,31
Soundgarden,31
Sugababes,31
Sugarcult,31
Tears for Fears,31
The Divine Comedy,31
Wolf Alice,31
Amy Winehouse,30
Aretha Franklin,30
Flogging Molly,30
George Ezra,30
Kiss,30
Melanie C,30
Rooster,30
Rudimental,30
Speedway,30
Spice Girls,30
Stacie Orrico,30
Wet Leg,30
Whitesnake,30
Bring Me the Horizon,29
Elvis Presley,29
Hole,29
Joy Division,29
Lily Allen,29
Mark Ronson,29
Operation Ivy,29
Phoenix,29
Rooney,29
The Automatic,29
The La's,29
The Pigeon Detectives,29
Tina Turner,29
Toto,29
Wheatus,29
Amy Macdonald,28
Carrie Underwood,28
Cherryfalls,28
David Gray,28
Faith No More,28
Foreigner,28
LeAnn Rimes,28
The Beach Boys,28
The Naked and Famous,28
Thirteen Senses,28
Vengaboys,28
Yes,28
Boney M.,27
Depeche Mode,27
Jess Glynne,27
Marvin Gaye,27
Natasha Bedingfield,27
Noel Gallagher's High Flying Birds,27
Olly Murs,27
One Night Only,27
Rush,27
The Airborne Toxic Event,27
The B-52's,27
The Bravery,27
The Flaming Lips,27
They Might Be Giants,27
Tom Odell,27
Alkaline Trio,26
Audioslave,26
Calvin Harris,26
Dean Martin,26
Dexys Midnight Runners,26
Fyfe Dangerfield,26
George Michael,26
Kenny Loggins,26
Kool & the Gang,26
Motörhead,26
Nerina Pallot,26
NOFX,26
Ramones,26
Robert Palmer,26
Seal,26
Shakira,26
Smash Mouth,26
Sublime,26
The Bluetones,26
The Shadows,26
Toploader,26
Warpaint,26
Avicii,25
Black Sabbath,25
Blossoms,25
Huey Lewis & The News,25
Kate Bush,25
Levellers,25
Orchestral Manoeuvres in the Dark,25
The Mamas & the Papas,25
The Monkees,25
Turin Brakes,25
Badly Drawn Boy,24
Boston,24
Cake,24
Cat Stevens,24
Emeli Sandé,24
Kate Nash,24
Lene Marlin,24
Marillion,24
Mark Knopfler,24
Plan B,24
Sarah McLachlan,24
Space,24
The Charlatans,24
The Twang,24
Twisted Sister,24
Alicia Keys,23
Billie Eilish,23
Bob Dylan,23
Ella Fitzgerald,23
Gorillaz,23
Groove Armada,23
Ida Maria,23
Kula Shaker,23
Lana Del Rey,23
Longpigs,23
Mona,23
Newton Faulkner,23
Portishead,23
Regina Spektor,23
Shed Seven,23
Something Corporate,23
The Big Pink,23
The Chemical Brothers,23
The Pogues,23
The Rasmus,23
The View,23
Will Young,23
Girls Aloud,22
Len,22
Marina,22
Nero,22
Poison,22
Samantha Mumba,22
The Doors,22
ABC,21
Band of Skulls,21
Blind Melon,21
Captain,21
Delays,21
Drake,21
Erasure,21
Katrina and the Waves,21
Level 42,21
Matthew Wilder,21
Nova Twins,21
Richard Ashcroft,21
Spin Doctors,21
Stevie Nicks,21
Supertramp,21
The Bangles,21
The Brussels Philharmonic - The Orchestra Of Flanders,21
The Shins,21
The Sundays,21
Airbourne,20
Bo Burnham,20
David Guetta,20
Deee-Lite,20
fun.,20
Hot Chip,20
Jamie Cullum,20
Joe Jackson,20
Olivia Rodrigo,20
Papa Roach,20
Randy Newman,20
Soft Cell,20
Sophie Ellis-Bextor,20
The Lemonheads,20
The Police,20
Will Smith,20
Adam Ant,19
Alexandre Desplat,19
Bo Bruce,19
Bush,19
Busted,19
Crazy Town,19
Darwin Deez,19
Dusty Springfield,19
Eliza Doolittle,19
Europe,19
Lynyrd Skynyrd,19
Moby,19
Moloko,19
Morning Runner,19
Nelly Furtado,19
Ray Parker Jr.,19
Salt-N-Pepa,19
Slayer,19
Steve Harley & Cockney Rebel,19
Tasmin Archer,19
The Farm,19
The Lumineers,19
The Pointer Sisters,19
The xx,19
Vance Joy,19
Backstreet Boys,18
Billy Ocean,18
Corinne Bailey Rae,18
Eric Clapton,18
Everything But the Girl,18
Free,18
Gavin DeGraw,18
Gwen Stefani,18
Howard Jones,18
Inhaler,18
Lou Reed,18
Marc Cohn,18
Ms. Lauryn Hill,18
OutKast,18
Puddle of Mudd,18
Republica,18
Rihanna,18
Run-D.M.C.,18
Sam Fender,18
Scorpions,18
Shout Out Louds,18
Survivor,18
Sweet,18
The Boo Radleys,18
The Postal Service,18
The Soup Dragons,18
Vanessa Carlton,18
Yellowcard,18
Bananarama,17
Black Eyed Peas,17
Blue Swede,17
Chumbawamba,17
Damien Rice,17
Deacon Blue,17
Des'ree,17
Don Henley,17
Foster the People,17
Gerry & The Pacemakers,17
Hanson,17
Hard-Fi,17
Heaven 17,17
Joan Osborne,17
Julie Andrews,17
